Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/15/2012 8:00,46.52,117.69,520.19
1/15/2012 9:00,49.41,117.67,401.96
1/15/2012 10:00,48.74,116.37,222.97
1/15/2012 11:00,47.63,115.59,148.38
1/15/2012 12:00,47.94,112.68,139.26
1/15/2012 13:00,49.3,112.14,148.78
1/15/2012 14:00,49.94,112.82,189.77
1/15/2012 15:00,50.61,113.27,239.26
1/15/2012 16:00,48.84,111.96,222.39
1/15/2012 17:00,45.78,109.92,268.05
1/15/2012 18:00,43.44,110.01,326.41
1/15/2012 19:00,41.67,111.08,378.17
1/15/2012 20:00,40.39,111.99,381.22
1/15/2012 21:00,39.37,113.91,378.77
1/15/2012 22:00,39.05,113.51,357.56
1/15/2012 23:00,38.52,113.18,364.89
1/16/2012 0:00,37.71,107.52,479.54
1/16/2012 1:00,37.71,107.46,562.91
1/16/2012 2:00,36.5,109,640.59
1/16/2012 3:00,35.47,111.65,786.1
1/16/2012 4:00,34.98,114.42,1142.98
1/16/2012 5:00,34.56,114.76,1431.84
1/16/2012 6:00,33.6,122.26,1504.56
1/16/2012 7:00,32.71,126.11,1469.26
1/16/2012 8:00,36.37,127.39,1454.08
1/16/2012 9:00,51.5,131.1,1380.86
1/16/2012 10:00,63.17,128.16,1274.44
1/16/2012 11:00,65.64,128.01,1221.72
1/16/2012 12:00,51.6,132.5,1175.32
1/16/2012 13:00,47.36,133.99,1131.95
1/16/2012 14:00,47.8,135.83,985.7
1/16/2012 15:00,47.91,137.99,875.9
1/16/2012 16:00,47.03,134.72,730.24
1/16/2012 17:00,44.19,121.27,568.92
1/16/2012 18:00,41.85,111.82,447.04
1/16/2012 19:00,40.51,107.13,468.9
1/16/2012 20:00,39.05,106.84,449.5
1/16/2012 21:00,39.05,106.47,419.96
1/16/2012 22:00,38.25,105.93,462.64
1/16/2012 23:00,37.82,107.11,527.8
1/17/2012 0:00,37.71,113.92,609.47
1/17/2012 1:00,37.12,114.48,713.99
1/17/2012 2:00,36.35,117.72,825.23
1/17/2012 3:00,36.35,115.41,1079.58
1/17/2012 4:00,36.35,137.9,1284.67
1/17/2012 5:00,36.35,145.5,1632.71
1/17/2012 6:00,36.35,154.01,1802.9
1/17/2012 7:00,36.35,166.9,1759.66
1/17/2012 8:00,39.4,187.45,1700.85
1/17/2012 9:00,52.77,204.65,1454.91
1/17/2012 10:00,65.27,211.1,1483.59
1/17/2012 11:00,68.24,214.62,1196.91
1/17/2012 12:00,55.02,215.64,955.71
1/17/2012 13:00,49.35,222.29,818.84
1/17/2012 14:00,49.15,222.71,651.69
1/17/2012 15:00,48.93,220.68,612.99
1/17/2012 16:00,47.23,206.37,528.15
1/17/2012 17:00,44.18,185.81,470.45
1/17/2012 18:00,42.51,135.65,513.68
1/17/2012 19:00,41.71,116.7,595.68
1/17/2012 20:00,41.71,111.27,698.55
1/17/2012 21:00,41.71,110.1,741.68
1/17/2012 22:00,40.75,108.25,780.18
1/17/2012 23:00,40.39,108.79,774.65
1/18/2012 0:00,40.39,109.24,813.15
1/18/2012 1:00,39.2,112.52,899.66
1/18/2012 2:00,39.05,115.27,945.07
1/18/2012 3:00,39.05,114.34,1050.76
1/18/2012 4:00,39.05,139.03,1153.07
1/18/2012 5:00,39.05,145.88,1532.31
1/18/2012 6:00,39.05,154.53,1609.4
1/18/2012 7:00,39.05,168.75,1590.18
1/18/2012 8:00,41.33,187.58,1587.33
